PLATE,MJD,RACEN,DECCEN,RUN2D,RUN1D,QUALITY,SN^2,N_gal,N_QSO,N_star,N_unk,N_sky,SURVEY,PROG,CHUNK,TILEID,PUBLIC
3615,56544,37.00,0.00,v5_7_0,v5_7_0,good,30.6,558,149,158,55,80,boss,commissioning,boss1,10079,DR12
3615,56219,37.00,0.00,v5_7_0,v5_7_0,good,15.7,523,145,143,109,80,boss,commissioning,boss1,10079,DR11
3615,55856,37.00,0.00,v5_7_0,v5_7_0,good,19.8,544,140,149,87,80,boss,commissioning,boss1,10079,DR10
3615,55445,37.00,0.00,v5_7_0,v5_7_0,good,22.6,550,138,151,81,80,boss,commissioning,boss1,10079,DR9
3615,55208,37.00,0.00,v5_7_0,v5_7_0,good,20.9,502,152,141,125,80,boss,commissioning,boss1,10079,DR9
3615,55179,37.00,0.00,v5_7_0,v5_7_0,good,30.7,547,150,149,74,80,boss,commissioning,boss1,10079,DR9
3639,55205,25.00,0.00,v5_7_0,v5_7_0,good,21.1,448,135,102,229,86,boss,commissioning,boss1,10067,DR9
3647,56596,37.00,0.00,v5_7_0,v5_7_0,good,13.1,482,143,132,163,80,boss,commissioning,boss1,10079,DR12
3647,56568,37.00,0.00,v5_7_0,v5_7_0,good,14.2,535,141,142,102,80,boss,commissioning,boss1,10079,DR12
3647,56219,37.00,0.00,v5_7_0,v5_7_0,good,14.7,518,138,142,122,80,boss,commissioning,boss1,10079,DR11
3647,55945,37.00,0.00,v5_7_0,v5_7_0,good,16.0,529,140,147,104,80,boss,commissioning,boss1,10079,DR10
3647,55827,37.00,0.00,v5_7_0,v5_7_0,good,15.3,536,143,143,98,80,boss,commissioning,boss1,10079,DR10
3647,55476,37.00,0.00,v5_7_0,v5_7_0,good,20.5,524,146,144,106,80,boss,commissioning,boss1,10079,DR9
3647,55241,37.00,0.00,v5_7_0,v5_7_0,good,17.9,516,143,138,123,80,boss,commissioning,boss1,10079,DR9
3647,55181,37.00,0.00,v5_7_0,v5_7_0,good,15.5,493,147,133,147,80,boss,commissioning,boss1,10079,DR9
3650,55244,40.00,0.00,v5_7_0,v5_7_0,good,16.2,448,121,132,145,154,boss,commissioning,boss1,10082,DR9
3651,55247,41.00,0.00,v5_7_0,v5_7_0,good,14.7,459,136,125,164,116,boss,commissioning,boss1,10083,DR9
3655,55240,110.34,40.31,v5_7_0,v5_7_0,good,21.4,520,96,256,58,70,boss,boss,boss2,10132,DR9
3656,55241,110.84,41.97,v5_7_0,v5_7_0,good,19.0,558,86,227,57,72,boss,boss,boss2,10131,DR9
3657,55244,112.23,39.36,v5_7_0,v5_7_0,good,19.0,499,80,247,59,115,boss,boss,boss2,10130,DR9
3658,55205,112.77,41.02,v5_7_0,v5_7_0,good,19.9,528,81,207,114,70,boss,boss,boss2,10087,DR9
3659,55181,113.33,42.67,v5_7_0,v5_7_0,good,26.3,551,83,235,61,70,boss,boss,boss2,10088,DR9
3660,55209,113.91,44.32,v5_7_0,v5_7_0,good,13.7,445,96,190,119,150,boss,boss,boss2,10089,DR9
3661,55614,114.08,38.38,v5_7_0,v5_7_0,good,18.7,552,78,244,56,70,boss,boss,boss2,10093,DR9
3661,55212,114.08,38.38,v5_7_0,v5_7_0,good,11.3,456,81,204,189,70,boss,boss,boss2,10093,DR9
3662,55182,114.18,37.06,v5_7_0,v5_7_0,good,22.0,506,107,213,104,70,boss,boss,boss2,10133,DR9
3663,55176,114.52,45.96,v5_7_0,v5_7_0,good,14.9,460,74,174,158,134,boss,boss,boss2,10090,DR9
3664,55245,114.64,40.04,v5_7_0,v5_7_0,good,18.0,522,96,247,65,70,boss,boss,boss2,10094,DR9
3665,55247,115.16,47.61,v5_7_0,v5_7_0,good,20.9,513,107,178,98,104,boss,boss,boss2,10091,DR9
3666,55185,115.23,41.69,v5_7_0,v5_7_0,good,18.4,492,92,196,81,139,boss,boss,boss2,10095,DR9
3667,55566,115.42,37.38,v5_7_0,v5_7_0,good,19.4,514,103,221,92,70,boss,boss,boss2,10104,DR9
3667,55186,115.42,37.38,v5_7_0,v5_7_0,good,13.3,477,101,207,145,70,boss,boss,boss2,10104,DR9
3668,55478,115.82,49.26,v5_7_0,v5_7_0,good,24.6,477,107,213,93,110,boss,boss,boss2,10092,DR9
3669,55481,115.84,43.34,v5_7_0,v5_7_0,good,24.1,507,85,226,59,123,boss,boss,boss2,10096,DR9
3670,55480,116.46,39.04,v5_7_0,v5_7_0,good,24.0,518,92,220,66,104,boss,boss,boss2,10105,DR9
3671,55483,116.48,44.98,v5_7_0,v5_7_0,good,22.7,508,75,174,59,184,boss,boss,boss2,10097,DR9
3672,55484,117.07,40.68,v5_7_0,v5_7_0,good,25.3,591,80,209,50,70,boss,boss,boss2,10106,DR9
3673,55178,117.14,46.63,v5_7_0,v5_7_0,good,19.8,547,79,170,122,82,boss,boss,boss2,10098,DR9
3674,55182,117.71,42.33,v5_7_0,v5_7_0,good,19.0,515,96,201,108,80,boss,boss,boss2,10107,DR9
3675,55183,117.83,48.28,v5_7_0,v5_7_0,good,22.6,530,102,171,127,70,boss,boss,boss2,10099,DR9
3676,55186,118.37,43.97,v5_7_0,v5_7_0,good,24.8,531,95,183,119,72,boss,boss,boss2,10108,DR9
3677,55205,118.55,49.93,v5_7_0,v5_7_0,good,18.1,565,95,175,95,70,boss,boss,boss2,10100,DR9
3678,55208,119.06,45.61,v5_7_0,v5_7_0,good,18.3,497,104,186,143,70,boss,boss,boss2,10109,DR9
3679,55209,119.30,51.60,v5_7_0,v5_7_0,good,38.5,543,96,212,54,95,boss,boss,boss2,10101,DR9
3680,55210,119.52,41.28,v5_7_0,v5_7_0,good,14.0,488,102,203,137,70,boss,boss,boss2,10115,DR9
3681,55243,119.78,47.25,v5_7_0,v5_7_0,good,30.3,568,80,223,55,74,boss,boss,boss2,10110,DR9
3682,55244,120.08,53.27,v5_7_0,v5_7_0,good,16.8,588,93,178,71,70,boss,boss,boss2,10102,DR9
