 obs_wave   obs_eint  obs_pint
 670.7144  8.7205e-02    15.76
 670.7185  8.5423e-02    15.44
 670.7226  8.4033e-02    15.19
 670.7266  8.6444e-02    15.62
 670.7307  8.6561e-02    15.65
 670.7348  8.9033e-02    16.09
 670.7388  9.1374e-02    16.52
 670.7429  9.0674e-02    16.39
 670.7469  9.3396e-02    16.88
 670.7510  9.1057e-02    16.46
 670.7551  8.6861e-02    15.70
 670.7591  9.1334e-02    16.51
 670.7632  9.2224e-02    16.67
 670.7673  9.3446e-02    16.89
 670.7713  9.5577e-02    17.28
 670.7754  9.3675e-02    16.93
 670.7795  9.2542e-02    16.73
 670.7835  9.5720e-02    17.30
 670.7876  1.0322e-01    18.66
 670.7916  1.0776e-01    19.48
 670.7957  9.8327e-02    17.77
 670.7998  9.0939e-02    16.44
 670.8038  8.7035e-02    15.73
 670.8079  8.4151e-02    15.21
 670.8120  9.0437e-02    16.35
 670.8160  9.3134e-02    16.84
 670.8201  8.5005e-02    15.37
 670.8242  8.8992e-02    16.09
 670.8282  8.9178e-02    16.12
 670.8323  8.7820e-02    15.88
 670.8364  8.2684e-02    14.95
 670.8404  8.9944e-02    16.26
 670.8445  9.4009e-02    16.99
 670.8485  9.5696e-02    17.30
 670.8526  8.7546e-02    15.83
 670.8567  8.7346e-02    15.79
 670.8607  8.8921e-02    16.07
 670.8648  9.2462e-02    16.72
 670.8689  1.0396e-01    18.79
 670.8729  9.7096e-02    17.55
 670.8770  9.6252e-02    17.40
 670.8811  9.7371e-02    17.60
 670.8851  8.1715e-02    14.77
 670.8892  8.9195e-02    16.13
 670.8932  9.1896e-02    16.61
 670.8973  9.0905e-02    16.43
 670.9014  9.2216e-02    16.67
 670.9054  9.0475e-02    16.36
 670.9095  9.0425e-02    16.35
 670.9136  9.1816e-02    16.60
 670.9176  8.9551e-02    16.19
 670.9217  8.9630e-02    16.20
 670.9258  8.8310e-02    15.97
 670.9298  8.6127e-02    15.57
 670.9339  8.9992e-02    16.27
 670.9380  8.8800e-02    16.05
 670.9420  8.8471e-02    16.00
 670.9461  9.1492e-02    16.54
 670.9501  8.5682e-02    15.49
 670.9542  8.9571e-02    16.19
 670.9583  9.2844e-02    16.79
 670.9623  9.1859e-02    16.61
 670.9664  9.8230e-02    17.76
 670.9705  9.2748e-02    16.77
 670.9745  8.9134e-02    16.12
 670.9786  9.4839e-02    17.15
 670.9827  9.3227e-02    16.86
 670.9867  8.7978e-02    15.91
 670.9908  8.5816e-02    15.52
 670.9948  9.4772e-02    17.14
 670.9989  9.3226e-02    16.86
 671.0030  9.3126e-02    16.84
 671.0070  9.5611e-02    17.29
 671.0111  1.0767e-01    19.47
 671.0152  1.0832e-01    19.59
 671.0192  1.0969e-01    19.83
 671.0233  1.0964e-01    19.83
 671.0274  9.9827e-02    18.05
 671.0314  8.6669e-02    15.67
 671.0355  8.6273e-02    15.60
 671.0396  8.9212e-02    16.13
 671.0436  9.3805e-02    16.96
 671.0477  9.0410e-02    16.35
 671.0517  9.1202e-02    16.49
 671.0558  9.2490e-02    16.72
 671.0599  8.8356e-02    15.98
 671.0639  9.0052e-02    16.28
 671.0680  9.1401e-02    16.53
 671.0721  9.2598e-02    16.74
 671.0761  9.3482e-02    16.90
 671.0802  8.5510e-02    15.46
 671.0843  8.9646e-02    16.21
 671.0883  9.7625e-02    17.65
 671.0924  9.6671e-02    17.48
 671.0964  9.7740e-02    17.68
 671.1005  9.9384e-02    17.97
 671.1046  9.9989e-02    18.08
 671.1086  1.0165e-01    18.38
 671.1127  1.1319e-01    20.47
 671.1168  1.0836e-01    19.60
 671.1208  9.6755e-02    17.50
 671.1249  8.6088e-02    15.57
 671.1290  9.0147e-02    16.30
 671.1330  8.7967e-02    15.91
 671.1371  8.4165e-02    15.22
 671.1412  9.2738e-02    16.77
 671.1452  9.1024e-02    16.46
 671.1493  9.4070e-02    17.01
 671.1533  9.7383e-02    17.61
 671.1574  8.8301e-02    15.97
 671.1615  9.0767e-02    16.42
 671.1655  9.0379e-02    16.35
 671.1696  8.9472e-02    16.18
 671.1737  9.3167e-02    16.85
 671.1777  9.3742e-02    16.95
 671.1818  9.0212e-02    16.32
 671.1859  8.4387e-02    15.26
 671.1899  7.8542e-02    14.21
 671.1940  8.2865e-02    14.99
 671.1980  8.8446e-02    16.00
 671.2021  9.1638e-02    16.57
 671.2062  8.6027e-02    15.56
 671.2102  8.8201e-02    15.95
 671.2143  8.6260e-02    15.60
 671.2184  8.6062e-02    15.57
 671.2224  9.8310e-02    17.78
 671.2265  9.2532e-02    16.74
 671.2306  9.1470e-02    16.54
 671.2346  9.1147e-02    16.49
 671.2387  9.1991e-02    16.64
 671.2428  9.3780e-02    16.96
 671.2468  9.5141e-02    17.21
 671.2509  9.5101e-02    17.20
 671.2549  8.9273e-02    16.15
 671.2590  1.0170e-01    18.40
 671.2631  1.0067e-01    18.21
 671.2671  9.5774e-02    17.32
 671.2712  8.6476e-02    15.64
 671.2753  8.9690e-02    16.22
 671.2793  9.0055e-02    16.29
 671.2834  8.8872e-02    16.08
 671.2875  8.3879e-02    15.17
 671.2915  8.6503e-02    15.65
 671.2956  8.6425e-02    15.63
 671.2996  8.8571e-02    16.02
 671.3037  9.5045e-02    17.19
 671.3078  9.2437e-02    16.72
 671.3118  8.9649e-02    16.22
 671.3159  9.0124e-02    16.30
 671.3200  9.4267e-02    17.05
 671.3240  8.8833e-02    16.07
 671.3281  9.4983e-02    17.18
 671.3322  9.6543e-02    17.47
 671.3362  9.3620e-02    16.94
 671.3403  9.7477e-02    17.63
 671.3444  9.7602e-02    17.66
 671.3484  9.7077e-02    17.56
 671.3525  9.6335e-02    17.43
 671.3565  9.7364e-02    17.61
 671.3606  9.9493e-02    18.00
 671.3647  9.6331e-02    17.43
 671.3687  9.0062e-02    16.29
 671.3728  8.9795e-02    16.25
 671.3769  1.0113e-01    18.30
 671.3809  1.0864e-01    19.66
 671.3850  1.1332e-01    20.50
 671.3891  1.1019e-01    19.93
 671.3931  1.1282e-01    20.41
 671.3972  1.0199e-01    18.45
 671.4012  9.0768e-02    16.42
 671.4053  8.8819e-02    16.07
 671.4094  9.0543e-02    16.38
 671.4134  9.0350e-02    16.35
 671.4175  8.9223e-02    16.14
 671.4216  8.7204e-02    15.78
 671.4256  9.2742e-02    16.78
 671.4297  9.5535e-02    17.29
 671.4338  9.4809e-02    17.15
 671.4378  9.2458e-02    16.73
 671.4419  9.4817e-02    17.16
 671.4460  8.9169e-02    16.13
 671.4500  8.7559e-02    15.84
 671.4541  9.0561e-02    16.39
 671.4581  8.6438e-02    15.64
 671.4622  8.7921e-02    15.91
 671.4663  9.5324e-02    17.25
 671.4703  1.0613e-01    19.20
 671.4744  1.1206e-01    20.28
 671.4785  1.1945e-01    21.61
 671.4825  1.1924e-01    21.58
 671.4866  1.1506e-01    20.82
 671.4907  1.0196e-01    18.45
 671.4947  8.9341e-02    16.17
 671.4988  8.7904e-02    15.91
 671.5028  9.1005e-02    16.47
 671.5069  9.4873e-02    17.17
 671.5110  9.2387e-02    16.72
 671.5150  8.6075e-02    15.58
 671.5191  8.4236e-02    15.24
 671.5232  9.1321e-02    16.53
 671.5272  9.5784e-02    17.33
 671.5313  9.7180e-02    17.59
 671.5354  9.8185e-02    17.77
 671.5394  9.9679e-02    18.04
 671.5435  9.8810e-02    17.88
 671.5476  1.0406e-01    18.83
 671.5516  1.0180e-01    18.42
 671.5557  9.7003e-02    17.55
 671.5597  1.0074e-01    18.23
 671.5638  1.0172e-01    18.41
 671.5679  1.0149e-01    18.37
 671.5719  1.0223e-01    18.50
 671.5760  1.1127e-01    20.14
 671.5801  1.1905e-01    21.54
 671.5841  1.1361e-01    20.56
 671.5882  1.1067e-01    20.03
 671.5923  1.1731e-01    21.23
 671.5963  1.0627e-01    19.23
 671.6004  1.1077e-01    20.05
 671.6044  1.0732e-01    19.42
 671.6085  9.3046e-02    16.84
 671.6126  1.0180e-01    18.42
 671.6166  9.6794e-02    17.52
 671.6207  9.9765e-02    18.06
 671.6248  1.0701e-01    19.37
 671.6288  1.0016e-01    18.13
 671.6329  9.7862e-02    17.71
 671.6370  1.0319e-01    18.68
 671.6410  1.0826e-01    19.59
 671.6451  1.0265e-01    18.58
 671.6492  1.0734e-01    19.43
 671.6532  1.0473e-01    18.96
 671.6573  1.0289e-01    18.62
 671.6613  1.0699e-01    19.36
 671.6654  1.1111e-01    20.11
 671.6695  1.0823e-01    19.59
 671.6735  1.0811e-01    19.57
 671.6776  1.1098e-01    20.09
 671.6817  1.0273e-01    18.59
 671.6857  1.0153e-01    18.38
 671.6898  1.0644e-01    19.27
 671.6939  1.1328e-01    20.50
 671.6979  1.2198e-01    22.08
 671.7020  1.1145e-01    20.17
 671.7060  1.0704e-01    19.37
 671.7101  1.0874e-01    19.68
 671.7142  1.1846e-01    21.44
 671.7182  1.1169e-01    20.22
 671.7223  1.0634e-01    19.25
 671.7264  1.0331e-01    18.70
 671.7304  1.0362e-01    18.76
 671.7345  1.0233e-01    18.52
 671.7386  1.0267e-01    18.58
 671.7426  1.0639e-01    19.26
 671.7467  1.1004e-01    19.92
 671.7508  1.0218e-01    18.50
 671.7548  1.0934e-01    19.79
 671.7589  1.0106e-01    18.29
 671.7629  9.4501e-02    17.11
 671.7670  1.0027e-01    18.15
 671.7711  9.7231e-02    17.60
 671.7751  9.8774e-02    17.88
 671.7792  9.7484e-02    17.65
 671.7833  9.2192e-02    16.69
 671.7873  7.7836e-02    14.09
 671.7914  7.6341e-02    13.82
 671.7955  7.9568e-02    14.40
 671.7995  8.2059e-02    14.86
 671.8036  7.6848e-02    13.91
 671.8076  1.0062e-01    18.21
 671.8117  1.0208e-01    18.48
 671.8158  1.0196e-01    18.46
 671.8198  1.0418e-01    18.86
 671.8239  8.7277e-02    15.80
 671.8280  9.4918e-02    17.18
 671.8320  9.5980e-02    17.38
 671.8361  9.3470e-02    16.92
 671.8402  9.5669e-02    17.32
 671.8442  1.0119e-01    18.32
 671.8483  9.9949e-02    18.10
 671.8524  9.4570e-02    17.12
 671.8564  8.3657e-02    15.15
 671.8605  9.5781e-02    17.34
 671.8645  9.8132e-02    17.77
 671.8686  9.7804e-02    17.71
 671.8727  9.6511e-02    17.47
 671.8767  9.9461e-02    18.01
 671.8808  9.5263e-02    17.25
 671.8849  9.6278e-02    17.43
 671.8889  1.0139e-01    18.36
 671.8930  1.0896e-01    19.73
 671.8971  1.0490e-01    18.99
 671.9011  1.0597e-01    19.19
 671.9052  1.0488e-01    18.99
 671.9092  9.7495e-02    17.65
 671.9133  8.4272e-02    15.26
 671.9174  8.7467e-02    15.84
 671.9214  9.0630e-02    16.41
 671.9255  9.3040e-02    16.85
 671.9296  9.1600e-02    16.59
 671.9336  9.2068e-02    16.67
 671.9377  9.3577e-02    16.94
 671.9418  9.5795e-02    17.35
 671.9458  9.8325e-02    17.80
 671.9499  8.8684e-02    16.06
 671.9540  8.3160e-02    15.06
 671.9580  8.1081e-02    14.68
 671.9621  8.2188e-02    14.88
 671.9661  8.6435e-02    15.65
 671.9702  8.2665e-02    14.97
 671.9743  8.3538e-02    15.13
 671.9783  8.5373e-02    15.46
 671.9824  8.7212e-02    15.79
 671.9865  9.2047e-02    16.67
 671.9905  9.1765e-02    16.62
 671.9946  9.0542e-02    16.40
 671.9987  8.8134e-02    15.96
 672.0027  8.4627e-02    15.32
 672.0068  9.0370e-02    16.36
 672.0108  9.0433e-02    16.38
 672.0149  8.8911e-02    16.10
 672.0190  8.5344e-02    15.45
 672.0230  8.7155e-02    15.78
 672.0271  8.7844e-02    15.91
 672.0312  8.7272e-02    15.80
 672.0352  8.4287e-02    15.26
 672.0393  8.1980e-02    14.85
 672.0434  8.0009e-02    14.49
 672.0474  8.5546e-02    15.49
 672.0515  8.9686e-02    16.24
 672.0556  9.0374e-02    16.37
 672.0596  8.7730e-02    15.89
 672.0637  9.1788e-02    16.62
 672.0677  8.8683e-02    16.06
 672.0718  8.7286e-02    15.81
 672.0759  1.0904e-01    19.75
 672.0799  1.0581e-01    19.16
 672.0840  1.0230e-01    18.53
 672.0881  1.0463e-01    18.95
 672.0921  1.1108e-01    20.12
 672.0962  9.4871e-02    17.18
 672.1003  8.7255e-02    15.80
 672.1043  8.3984e-02    15.21
 672.1084  8.3007e-02    15.03
 672.1124  8.2844e-02    15.00
 672.1165  8.9188e-02    16.15
 672.1206  8.8350e-02    16.00
 672.1246  8.6112e-02    15.60
 672.1287  8.2670e-02    14.97
 672.1328  8.0790e-02    14.63
 672.1368  8.7890e-02    15.92
 672.1409  8.6631e-02    15.69
 672.1450  8.5844e-02    15.55
 672.1490  8.8950e-02    16.11
 672.1531  8.1758e-02    14.81
 672.1572  8.5304e-02    15.45
 672.1612  8.8886e-02    16.10
 672.1653  9.0161e-02    16.33
 672.1693  8.1646e-02    14.79
 672.1734  8.2869e-02    15.01
 672.1775  8.8869e-02    16.10
 672.1815  8.7770e-02    15.90
 672.1856  7.9581e-02    14.41
 672.1897  8.2701e-02    14.98
 672.1937  8.2794e-02    15.00
 672.1978  8.4605e-02    15.33
 672.2019  8.6496e-02    15.67
 672.2059  8.5759e-02    15.53
 672.2100  9.0307e-02    16.36
 672.2140  8.7441e-02    15.84
 672.2181  8.4115e-02    15.24
 672.2222  8.1669e-02    14.79
 672.2262  8.6330e-02    15.64
 672.2303  9.2389e-02    16.74
 672.2344  8.7965e-02    15.93
 672.2384  8.4887e-02    15.38
 672.2425  8.6354e-02    15.64
 672.2466  9.2720e-02    16.80
 672.2506  8.6996e-02    15.76
 672.2547  8.5158e-02    15.43
 672.2588  8.2964e-02    15.03
 672.2628  8.0621e-02    14.60
 672.2669  8.5892e-02    15.56
 672.2709  9.3184e-02    16.88
 672.2750  1.0285e-01    18.63
 672.2791  1.1046e-01    20.01
 672.2831  1.0695e-01    19.37
 672.2872  9.5455e-02    17.29
 672.2913  9.2654e-02    16.79
 672.2953  8.7619e-02    15.87
 672.2994  8.2252e-02    14.90
 672.3035  9.1746e-02    16.62
 672.3075  1.0348e-01    18.75
 672.3116  1.0438e-01    18.91
 672.3156  9.8310e-02    17.81
 672.3197  8.6886e-02    15.74
 672.3238  8.7440e-02    15.84
 672.3278  8.5032e-02    15.41
 672.3319  8.8037e-02    15.95
 672.3360  9.0742e-02    16.44
 672.3400  8.7666e-02    15.88
 672.3441  8.2727e-02    14.99
 672.3482  8.0706e-02    14.62
 672.3522  8.3105e-02    15.06
