 obs_wave   obs_eint  obs_pint
 373.1203  0.0000e+00     0.00
 373.1243  0.0000e+00     0.00
 373.1283  0.0000e+00     0.00
 373.1323  0.0000e+00     0.00
 373.1363  0.0000e+00     0.00
 373.1403  0.0000e+00     0.00
 373.1443  0.0000e+00     0.00
 373.1483  0.0000e+00     0.00
 373.1523  0.0000e+00     0.00
 373.1563  0.0000e+00     0.00
 373.1603  0.0000e+00     0.00
 373.1643  0.0000e+00     0.00
 373.1683  0.0000e+00     0.00
 373.1723  0.0000e+00     0.00
 373.1763  0.0000e+00     0.00
 373.1803  0.0000e+00     0.00
 373.1843  0.0000e+00     0.00
 373.1883  0.0000e+00     0.00
 373.1923  0.0000e+00     0.00
 373.1963  0.0000e+00     0.00
 373.2003  0.0000e+00     0.00
 373.2043  0.0000e+00     0.00
 373.2083  0.0000e+00     0.00
 373.2123  0.0000e+00     0.00
 373.2163  0.0000e+00     0.00
 373.2203  0.0000e+00     0.00
 373.2243  0.0000e+00     0.00
 373.2283  0.0000e+00     0.00
 373.2323  0.0000e+00     0.00
 373.2363  0.0000e+00     0.00
 373.2403  0.0000e+00     0.00
 373.2443  0.0000e+00     0.00
 373.2483  0.0000e+00     0.00
 373.2523  0.0000e+00     0.00
 373.2563  0.0000e+00     0.00
 373.2603  0.0000e+00     0.00
 373.2643  0.0000e+00     0.00
 373.2683  0.0000e+00     0.00
 373.2723  0.0000e+00     0.00
 373.2763  0.0000e+00     0.00
 373.2803  0.0000e+00     0.00
 373.2843  0.0000e+00     0.00
 373.2883  0.0000e+00     0.00
 373.2923  0.0000e+00     0.00
 373.2963  0.0000e+00     0.00
 373.3003  0.0000e+00     0.00
 373.3043  0.0000e+00     0.00
 373.3083  0.0000e+00     0.00
 373.3123  0.0000e+00     0.00
 373.3163  0.0000e+00     0.00
 373.3203  0.0000e+00     0.00
 373.3243  0.0000e+00     0.00
 373.3283  0.0000e+00     0.00
 373.3323  0.0000e+00     0.00
 373.3363  0.0000e+00     0.00
 373.3403  0.0000e+00     0.00
 373.3443  0.0000e+00     0.00
 373.3483  0.0000e+00     0.00
 373.3523  0.0000e+00     0.00
 373.3563  0.0000e+00     0.00
 373.3603  0.0000e+00     0.00
 373.3643  0.0000e+00     0.00
 373.3683  0.0000e+00     0.00
 373.3723  0.0000e+00     0.00
 373.3763 -8.0366e-02    -8.09
 373.3803 -3.0574e-01   -30.76
 373.3843 -2.0865e-01   -20.99
 373.3883 -4.3219e-01   -43.49
 373.3923 -1.8486e-01   -18.60
 373.3963  8.8341e-02     8.89
 373.4003 -2.1818e-01   -21.95
 373.4043 -4.1095e-01   -41.35
 373.4083 -1.8821e-01   -18.94
 373.4123 -1.4589e-01   -14.68
 373.4163 -4.3798e-01   -44.07
 373.4203 -7.5991e-01   -76.47
 373.4243 -5.5060e-01   -55.41
 373.4283 -2.1030e-01   -21.16
 373.4323 -5.8349e-02    -5.87
 373.4363 -2.4922e-01   -25.08
 373.4403 -4.1707e-01   -41.97
 373.4443 -2.8159e-01   -28.34
 373.4483 -2.2006e-01   -22.15
 373.4523 -5.7385e-02    -5.77
 373.4563 -3.0814e-01   -31.01
 373.4603 -5.3478e-01   -53.82
 373.4643 -4.5671e-01   -45.96
 373.4683 -1.1367e-01   -11.44
 373.4723 -1.1090e-01   -11.16
 373.4763 -4.1087e-01   -41.35
 373.4803 -3.2633e-01   -32.84
 373.4843 -2.0889e-01   -21.02
 373.4883 -1.7546e-01   -17.66
 373.4923 -1.3043e-01   -13.13
 373.4963 -5.0822e-01   -51.15
 373.5003 -8.2634e-01   -83.17
 373.5043 -4.4304e-01   -44.59
 373.5083 -4.4355e-01   -44.64
 373.5123 -8.4009e-01   -84.56
 373.5163 -2.4954e-01   -25.12
 373.5203 -3.4513e-01   -34.74
 373.5243 -1.4692e-01   -14.79
 373.5283 -2.4116e-01   -24.27
 373.5323 -4.9407e-01   -49.73
 373.5363 -6.4429e-01   -64.85
 373.5403 -7.6289e-01   -76.79
 373.5443 -9.6288e-01   -96.92
 373.5483 -5.3178e-01   -53.53
 373.5523 -6.3289e-01   -63.71
 373.5563 -9.8501e-01   -99.15
 373.5603 -7.8458e-01   -78.98
 373.5643 -3.8498e-01   -38.75
 373.5683 -2.9196e-01   -29.39
 373.5723 -5.7110e-01   -57.49
 373.5763 -2.8670e-01   -28.86
 373.5803  2.0538e-01    20.68
 373.5843 -9.4547e-02    -9.52
 373.5883 -3.7142e-01   -37.39
 373.5923 -5.1174e-01   -51.52
 373.5963 -1.3651e-01   -13.74
