 obs_wave   obs_eint  obs_pint
 479.9999  8.8140e-02    11.40
 480.0028  8.5191e-02    11.02
 480.0058  1.2390e-01    16.03
 480.0087  1.1952e-01    15.46
 480.0117  1.1931e-01    15.43
 480.0146  1.2290e-01    15.90
 480.0176  1.0784e-01    13.95
 480.0205  9.5060e-02    12.30
 480.0235  9.0559e-02    11.71
 480.0264  1.0987e-01    14.21
 480.0294  1.0713e-01    13.86
 480.0323  1.0275e-01    13.29
 480.0353  1.1257e-01    14.56
 480.0382  1.3977e-01    18.08
 480.0412  1.3432e-01    17.37
 480.0441  1.1412e-01    14.76
 480.0471  1.1670e-01    15.10
 480.0500  1.2237e-01    15.83
 480.0530  1.2067e-01    15.61
 480.0559  1.0958e-01    14.18
 480.0589  8.2635e-02    10.69
 480.0618  9.2572e-02    11.98
 480.0648  1.1192e-01    14.48
 480.0677  9.2641e-02    11.98
 480.0707  1.1419e-01    14.77
 480.0736  1.3032e-01    16.86
 480.0766  1.2342e-01    15.97
 480.0795  1.1346e-01    14.68
 480.0825  1.0588e-01    13.70
 480.0854  1.0462e-01    13.53
 480.0884  1.1931e-01    15.43
 480.0913  1.1176e-01    14.46
 480.0943  1.0850e-01    14.04
 480.0972  1.2207e-01    15.79
 480.1001  1.0450e-01    13.52
 480.1031  9.7426e-02    12.60
 480.1060  8.5877e-02    11.11
 480.1090  1.3170e-01    17.04
 480.1119  1.0517e-01    13.61
 480.1149  9.7138e-02    12.57
 480.1178  1.1483e-01    14.86
 480.1208  1.1997e-01    15.52
 480.1237  1.1229e-01    14.53
 480.1267  1.0448e-01    13.52
 480.1296  1.1751e-01    15.20
 480.1326  1.3685e-01    17.71
 480.1355  1.3909e-01    18.00
 480.1385  1.0937e-01    14.15
 480.1414  1.0536e-01    13.63
 480.1444  1.1587e-01    14.99
 480.1473  1.1726e-01    15.17
 480.1503  1.1609e-01    15.02
 480.1532  1.1616e-01    15.03
 480.1562  1.1783e-01    15.25
 480.1591  1.2140e-01    15.71
 480.1621  1.3214e-01    17.10
 480.1650  1.2980e-01    16.79
 480.1680  1.2189e-01    15.77
 480.1709  1.1518e-01    14.90
 480.1739  1.2596e-01    16.30
 480.1768  1.2901e-01    16.69
 480.1798  1.1126e-01    14.40
 480.1827  9.6405e-02    12.47
 480.1857  1.0913e-01    14.12
 480.1886  1.1593e-01    15.00
 480.1916  1.2003e-01    15.53
 480.1945  1.2469e-01    16.14
 480.1975  1.3901e-01    17.99
 480.2004  1.3396e-01    17.33
