 obs_wave   obs_eint  obs_pint
 585.0004  9.8238e-02    15.49
 585.0039  9.6632e-02    15.23
 585.0073  8.5616e-02    13.50
 585.0108  9.4804e-02    14.95
 585.0143  1.0118e-01    15.95
 585.0178  6.3296e-02     9.98
 585.0213  8.0081e-02    12.62
 585.0247  9.5997e-02    15.13
 585.0282  8.5234e-02    13.44
 585.0317  9.9621e-02    15.71
 585.0352  1.1819e-01    18.63
 585.0387  7.4786e-02    11.79
 585.0422  7.6764e-02    12.10
 585.0456  7.9077e-02    12.47
 585.0491  9.5315e-02    15.03
 585.0526  9.8326e-02    15.50
 585.0561  1.0098e-01    15.92
 585.0596  1.0579e-01    16.68
 585.0630  1.1430e-01    18.02
 585.0665  1.2211e-01    19.25
 585.0700  8.4154e-02    13.27
 585.0735  9.4325e-02    14.87
 585.0770  1.0510e-01    16.57
 585.0805  9.4012e-02    14.82
 585.0839  9.8925e-02    15.60
 585.0874  1.0482e-01    16.53
 585.0909  1.0924e-01    17.22
 585.0944  9.1757e-02    14.47
 585.0979  6.6643e-02    10.51
 585.1014  9.7049e-02    15.30
 585.1048  9.4436e-02    14.89
 585.1083  8.7791e-02    13.84
 585.1118  9.3307e-02    14.71
 585.1153  9.5962e-02    15.13
 585.1188  1.0428e-01    16.44
 585.1222  1.0992e-01    17.33
 585.1257  1.0582e-01    16.68
 585.1292  1.0423e-01    16.43
 585.1327  9.4803e-02    14.95
 585.1362  1.0233e-01    16.14
 585.1397  1.1466e-01    18.08
 585.1431  8.9300e-02    14.08
 585.1466  8.6070e-02    13.57
 585.1501  8.7060e-02    13.73
 585.1536  1.0256e-01    16.17
 585.1571  1.0791e-01    17.02
 585.1605  1.1362e-01    17.92
 585.1640  1.2342e-01    19.46
 585.1675  1.2122e-01    19.11
 585.1710  1.1863e-01    18.71
 585.1745  1.2342e-01    19.46
 585.1780  1.2609e-01    19.88
 585.1814  1.2908e-01    20.36
 585.1849  1.1868e-01    18.71
 585.1884  1.1235e-01    17.72
 585.1919  1.0728e-01    16.92
 585.1954  1.1761e-01    18.55
 585.1988  1.2842e-01    20.25
 585.2023  1.3869e-01    21.87
 585.2058  9.1806e-02    14.48
 585.2093  1.0570e-01    16.67
 585.2128  1.2284e-01    19.37
 585.2163  1.4292e-01    22.54
 585.2197  1.4394e-01    22.70
 585.2232  1.4110e-01    22.25
 585.2267  1.1082e-01    17.48
 585.2302  1.4015e-01    22.10
 585.2337  1.6296e-01    25.70
 585.2371  1.5721e-01    24.79
 585.2406  1.8771e-01    29.60
 585.2441  2.1477e-01    33.87
 585.2476  2.1921e-01    34.57
 585.2511  2.0737e-01    32.70
 585.2546  1.9736e-01    31.13
 585.2580  1.9754e-01    31.15
 585.2615  2.1868e-01    34.49
 585.2650  2.3264e-01    36.69
 585.2685  2.2290e-01    35.15
 585.2720  2.2837e-01    36.02
 585.2755  2.3962e-01    37.79
 585.2789  2.8911e-01    45.60
 585.2824  2.6898e-01    42.42
 585.2859  2.6505e-01    41.80
 585.2894  3.0441e-01    48.01
 585.2929  2.9029e-01    45.78
 585.2963  2.8442e-01    44.86
 585.2998  2.8394e-01    44.78
 585.3033  2.9643e-01    46.75
 585.3068  2.9672e-01    46.80
 585.3103  2.6706e-01    42.12
 585.3138  2.1451e-01    33.83
 585.3172  1.8969e-01    29.92
 585.3207  1.9446e-01    30.67
 585.3242  1.7269e-01    27.24
 585.3277  1.6113e-01    25.41
 585.3312  1.5307e-01    24.14
 585.3346  1.5978e-01    25.20
 585.3381  1.6035e-01    25.29
 585.3416  1.5253e-01    24.06
 585.3451  1.6396e-01    25.86
 585.3486  1.5495e-01    24.44
 585.3521  1.2152e-01    19.17
 585.3555  1.0903e-01    17.20
 585.3590  1.1010e-01    17.37
 585.3625  1.1645e-01    18.37
 585.3660  1.1512e-01    18.16
 585.3695  1.1592e-01    18.28
 585.3729  1.1589e-01    18.28
 585.3764  8.9411e-02    14.10
 585.3799  9.0702e-02    14.31
 585.3834  1.0050e-01    15.85
 585.3869  7.3617e-02    11.61
 585.3904  7.8269e-02    12.35
 585.3938  9.0193e-02    14.23
 585.3973  9.0188e-02    14.23
 585.4008  9.4327e-02    14.88
 585.4043  1.0041e-01    15.84
 585.4078  9.4916e-02    14.97
 585.4112  8.5907e-02    13.55
 585.4147  7.4478e-02    11.75
 585.4182  1.0281e-01    16.22
 585.4217  9.1075e-02    14.37
 585.4252  7.3714e-02    11.63
 585.4287  7.9285e-02    12.51
 585.4321  9.3695e-02    14.78
 585.4356  1.0459e-01    16.50
 585.4391  1.0955e-01    17.28
 585.4426  1.0056e-01    15.86
 585.4461  9.4360e-02    14.89
 585.4496  9.9000e-02    15.62
 585.4530  8.1067e-02    12.79
 585.4565  7.2328e-02    11.41
 585.4600  9.8304e-02    15.51
 585.4635  9.3872e-02    14.81
 585.4670  9.3925e-02    14.82
 585.4704  9.7222e-02    15.34
 585.4739  1.1424e-01    18.02
 585.4774  1.1480e-01    18.11
 585.4809  9.1600e-02    14.45
 585.4844  8.3838e-02    13.23
 585.4879  8.5069e-02    13.42
 585.4913  9.6042e-02    15.15
 585.4948  1.0335e-01    16.31
 585.4983  9.5994e-02    15.15
 585.5018  7.5813e-02    11.96
 585.5053  9.6312e-02    15.20
 585.5087  9.6272e-02    15.19
 585.5122  9.0239e-02    14.24
 585.5157  8.1458e-02    12.85
 585.5192  8.1918e-02    12.92
 585.5227  8.4630e-02    13.35
 585.5262  8.9612e-02    14.14
 585.5296  9.3550e-02    14.76
 585.5331  9.8677e-02    15.57
 585.5366  9.8459e-02    15.54
 585.5401  8.8445e-02    13.96
 585.5436  8.1169e-02    12.81
 585.5470  1.2186e-01    19.23
 585.5505  9.1997e-02    14.52
 585.5540  7.1744e-02    11.32
 585.5575  1.0235e-01    16.15
 585.5610  9.9309e-02    15.67
 585.5645  9.8115e-02    15.48
 585.5679  1.0162e-01    16.04
 585.5714  9.2550e-02    14.60
 585.5749  8.9770e-02    14.17
 585.5784  1.0551e-01    16.65
 585.5819  9.6384e-02    15.21
 585.5853  8.8689e-02    13.99
 585.5888  8.1908e-02    12.93
 585.5923  8.8887e-02    14.03
 585.5958  9.5471e-02    15.07
 585.5993  1.0468e-01    16.52
 585.6028  1.2299e-01    19.41
 585.6062  1.2858e-01    20.29
