 obs_wave   obs_eint  obs_pint
 314.4308  1.7311e-01    14.67
 314.4333  1.8579e-01    15.74
 314.4358  3.1347e-01    26.56
 314.4383  3.7173e-01    31.50
 314.4408 -4.0101e-02    -3.40
 314.4433 -2.2594e-01   -19.14
 314.4458 -8.1714e-02    -6.92
 314.4483  7.0781e-02     6.00
 314.4508  3.3015e-02     2.80
 314.4533  4.8415e-02     4.10
 314.4558  1.1732e-01     9.94
 314.4583  8.4783e-02     7.18
 314.4608  1.5691e-02     1.33
 314.4633  3.6101e-02     3.06
 314.4658  4.8503e-02     4.11
 314.4683  2.9840e-01    25.29
 314.4708  4.9586e-01    42.02
 314.4733  3.0068e-01    25.48
 314.4758  1.5081e-01    12.78
 314.4783  2.0057e-01    17.00
 314.4808  4.2127e-01    35.70
 314.4833  6.0374e-01    51.16
 314.4858  2.6971e-01    22.86
 314.4883 -5.3425e-01   -45.27
 314.4908 -4.2638e-01   -36.13
 314.4933 -1.6639e-01   -14.10
 314.4958  7.6075e-02     6.45
 314.4983  5.6439e-02     4.78
 314.5008 -2.9211e-02    -2.48
 314.5033 -1.8307e-01   -15.52
 314.5058 -3.7968e-02    -3.22
 314.5083 -3.6646e-02    -3.11
 314.5108 -7.7749e-02    -6.59
 314.5133 -4.7666e-02    -4.04
 314.5158  6.9540e-02     5.89
 314.5183  1.3401e-01    11.36
 314.5208  1.8312e-02     1.55
 314.5233  3.7239e-02     3.16
 314.5258  1.0136e-01     8.59
 314.5283  1.0999e-01     9.32
 314.5308  1.0804e-02     0.92
 314.5333 -3.5582e-02    -3.02
 314.5358 -4.1767e-02    -3.54
 314.5383  3.3506e-03     0.28
 314.5408 -6.3373e-02    -5.37
 314.5433  1.1710e-01     9.93
 314.5458  7.1196e-01    60.35
 314.5483  1.5034e+00   127.43
 314.5508  2.2297e+00   189.00
 314.5533  2.2486e+00   190.60
 314.5558  1.0957e+00    92.87
 314.5583  3.8875e-01    32.95
 314.5608  9.2953e-03     0.79
 314.5633 -6.7591e-02    -5.73
 314.5658  1.4626e-01    12.40
 314.5683  4.5619e-01    38.67
 314.5708  6.9824e-01    59.19
 314.5733  4.6924e-01    39.78
 314.5758  2.3070e-01    19.56
 314.5783  2.6369e-01    22.35
 314.5808  6.4636e-01    54.79
 314.5833  3.2732e-01    27.75
 314.5858  2.5277e-01    21.43
 314.5883  1.0121e+00    85.80
 314.5908  1.5056e+00   127.64
 314.5933  1.6804e+00   142.45
 314.5958  1.1053e+00    93.70
 314.5983  3.6469e-01    30.92
 314.6008  1.6963e-01    14.38
 314.6033  1.8428e-01    15.62
 314.6058  3.5909e-01    30.44
 314.6083  4.4094e-01    37.38
 314.6108  3.9462e-01    33.45
 314.6133  2.6459e-01    22.43
 314.6158  2.1018e-01    17.82
 314.6183  1.9585e-01    16.60
 314.6208  2.8344e-01    24.03
 314.6233  3.0396e-01    25.77
 314.6258  1.7355e-03     0.15
 314.6283 -2.6648e-01   -22.59
 314.6308 -7.5969e-02    -6.44
 314.6333 -1.5066e-01   -12.77
 314.6358 -2.9287e-01   -24.83
 314.6383 -1.5755e-01   -13.36
 314.6408  1.2554e-02     1.06
 314.6433  4.4311e-02     3.76
 314.6458  3.7456e-02     3.18
 314.6483 -6.1485e-02    -5.21
 314.6508 -1.0661e-01    -9.04
 314.6533 -9.4974e-02    -8.05
 314.6558 -7.8366e-02    -6.64
 314.6583 -1.0205e-01    -8.65
 314.6608  7.1352e-02     6.05
 314.6633  3.6200e-01    30.69
 314.6658  4.4412e-01    37.66
 314.6683  4.2034e-01    35.64
 314.6708  3.4889e-01    29.58
 314.6733  1.6175e-01    13.72
 314.6758  4.4656e-02     3.79
 314.6783 -4.2157e-02    -3.57
 314.6808  1.0457e-01     8.87
 314.6833  2.3458e-01    19.89
 314.6858  1.9967e-01    16.93
 314.6883  1.5507e-01    13.15
 314.6908  1.5516e-01    13.16
 314.6933  2.0984e-01    17.79
 314.6958  2.3473e-01    19.91
 314.6983  2.2966e-01    19.48
 314.7008  3.1044e-02     2.63
 314.7033  1.2865e-03     0.11
 314.7058  5.7700e-02     4.89
 314.7083  1.0989e-01     9.32
 314.7108  1.3067e-01    11.08
 314.7133  2.0407e-01    17.31
 314.7158  3.3426e-01    28.35
 314.7183  5.4472e-01    46.20
 314.7208  8.6470e-01    73.33
 314.7233  7.6860e-01    65.18
 314.7258  1.5475e-01    13.12
 314.7283  1.4629e-02     1.24
 314.7308  7.7642e-02     6.58
 314.7333  1.6080e-01    13.64
 314.7358  1.6408e-01    13.92
 314.7383  2.0104e-01    17.05
 314.7408  2.9803e-01    25.28
 314.7433  3.3550e-01    28.45
 314.7458  2.5183e-01    21.36
 314.7483  3.0355e-01    25.75
 314.7508  3.8764e-01    32.88
 314.7533  2.2843e-01    19.37
 314.7558  1.2083e-01    10.25
 314.7583  2.0000e-01    16.96
 314.7608  3.8113e-01    32.33
 314.7633  2.2275e-01    18.89
 314.7658 -2.9634e-03    -0.25
 314.7683  2.9618e-02     2.51
 314.7708  2.6018e-01    22.07
 314.7733  7.4285e-01    63.01
 314.7758  1.4892e+00   126.32
 314.7783  1.7371e+00   147.35
 314.7808  1.5210e+00   129.01
 314.7833  9.9592e-01    84.48
 314.7858  4.7909e-01    40.64
 314.7883  2.4693e-01    20.95
 314.7908  7.7933e-02     6.61
 314.7933  3.2235e-01    27.34
 314.7958  7.5726e-01    64.24
 314.7983  9.1105e-01    77.28
 314.8008  7.8205e-01    66.34
 314.8033  4.7157e-01    40.00
 314.8058  3.5367e-01    30.00
 314.8083  1.5539e-01    13.18
 314.8108 -1.7558e-02    -1.49
 314.8133  1.2669e-01    10.75
 314.8158  7.5122e-01    63.73
 314.8183  1.4442e+00   122.51
 314.8208  1.5384e+00   130.51
 314.8233  9.1792e-01    77.87
 314.8258  3.7718e-01    32.00
 314.8283  9.3274e-02     7.91
 314.8308  1.7955e-01    15.23
 314.8333  2.1144e-01    17.94
 314.8358  2.5382e-01    21.53
 314.8383  4.0940e-01    34.73
 314.8408  5.3498e-01    45.39
 314.8433  3.6842e-01    31.26
 314.8458  1.8371e-01    15.59
 314.8483  3.2026e-01    27.17
 314.8508  4.0652e-01    34.49
 314.8533  3.1445e-01    26.68
 314.8558  2.7126e-01    23.01
 314.8583  3.6789e-01    31.21
 314.8608  2.7440e-01    23.28
 314.8633  1.6120e-01    13.68
 314.8658  1.0347e-01     8.78
 314.8683 -7.5543e-02    -6.41
 314.8708  8.5185e-03     0.72
 314.8733  2.0614e-01    17.49
 314.8758  1.2246e-01    10.39
 314.8783  1.6591e-01    14.08
 314.8808  2.1442e-01    18.19
 314.8833  1.3197e-01    11.20
 314.8858  1.1057e-02     0.94
 314.8883 -4.8036e-02    -4.08
 314.8908  1.2303e-01    10.44
 314.8933  3.0714e-01    26.06
 314.8958  1.7272e-01    14.66
 314.8983 -8.3299e-03    -0.71
 314.9008 -4.9315e-02    -4.18
 314.9033 -3.7367e-02    -3.17
 314.9058 -3.4369e-04    -0.03
 314.9083  1.7446e-01    14.80
 314.9108  2.7913e-01    23.69
 314.9133  2.7242e-01    23.12
 314.9158  2.1321e-01    18.09
 314.9183  2.4265e-01    20.59
 314.9208  3.1533e-01    26.76
 314.9233  2.9544e-01    25.07
 314.9258  2.4220e-01    20.55
 314.9283  1.4995e-01    12.73
 314.9308  9.4756e-03     0.80
 314.9333  1.1792e-01    10.01
 314.9358  1.9044e-01    16.16
 314.9383  1.4041e-01    11.92
 314.9408  2.2947e-01    19.47
 314.9433  2.6181e-01    22.22
 314.9458  2.6342e-01    22.36
 314.9483  2.7588e-01    23.41
 314.9508  1.3940e-01    11.83
 314.9533  4.8812e-02     4.14
 314.9558  9.8350e-02     8.35
 314.9583  2.2432e-01    19.04
 314.9608  1.6897e-01    14.34
 314.9633 -2.7704e-03    -0.24
 314.9658  6.3551e-03     0.54
 314.9683  1.0763e-02     0.91
 314.9708 -1.1959e-01   -10.15
 314.9733 -4.8544e-02    -4.12
 314.9758  1.0724e-01     9.10
 314.9783  1.2287e-01    10.43
 314.9808  1.1151e-01     9.46
 314.9833  8.9806e-02     7.62
 314.9858  1.2683e-01    10.77
 314.9883  1.1461e-01     9.73
 314.9908  8.7540e-02     7.43
 314.9933  1.3361e-01    11.34
 314.9958 -1.9598e-02    -1.66
 314.9983 -4.3880e-02    -3.72
 315.0008 -6.1985e-02    -5.26
 315.0033 -1.5270e-01   -12.96
 315.0058 -1.3917e-01   -11.81
 315.0083 -9.1734e-02    -7.79
 315.0108 -7.4592e-03    -0.63
 315.0133 -1.0313e-02    -0.88
 315.0158  3.6222e-02     3.07
 315.0183  8.6002e-02     7.30
 315.0208  1.9679e-01    16.71
 315.0233  1.9568e-01    16.61
 315.0258  9.7279e-02     8.26
 315.0283  1.1061e-01     9.39
 315.0308  2.6332e-01    22.35
 315.0333  3.6507e-01    30.99
 315.0358  4.0579e-01    34.45
 315.0383  4.7050e-01    39.94
 315.0408  5.4331e-01    46.12
 315.0433  7.4595e-01    63.33
 315.0458  1.1745e+00    99.71
 315.0483  1.3100e+00   111.21
 315.0508  9.3311e-01    79.22
 315.0533  7.8958e-01    67.03
 315.0558  7.3310e-01    62.24
 315.0583  5.7612e-01    48.91
 315.0608  3.7299e-01    31.67
 315.0633  2.3948e-01    20.33
 315.0658  5.4369e-01    46.16
 315.0683  9.5828e-01    81.36
 315.0708  8.8764e-01    75.36
 315.0733  7.0111e-01    59.53
 315.0758  4.1204e-01    34.98
 315.0783  1.0305e-01     8.75
 315.0808 -1.2583e-02    -1.07
 315.0833  1.7104e-01    14.52
 315.0858  5.6426e-01    47.91
 315.0883  1.0651e+00    90.44
 315.0908  1.5038e+00   127.69
 315.0933  1.3942e+00   118.38
 315.0958  7.1469e-01    60.68
 315.0983  1.4190e-01    12.05
 315.1008  6.9985e-03     0.59
 315.1033  3.9030e-02     3.31
 315.1058  3.6608e-02     3.11
 315.1083  9.1948e-02     7.81
 315.1108  1.0318e-01     8.76
 315.1133  1.8104e-02     1.54
 315.1158 -3.5829e-02    -3.04
 315.1183  3.7286e-02     3.17
 315.1208  1.0761e-01     9.14
 315.1233  5.0460e-02     4.28
 315.1258 -4.6952e-02    -3.99
 315.1283 -1.1301e-01    -9.60
 315.1308 -1.5155e-01   -12.87
 315.1333  1.3388e-03     0.11
 315.1358  1.1258e-01     9.56
 315.1383  6.3194e-02     5.37
 315.1408  1.1498e-01     9.76
 315.1433  2.5742e-01    21.86
 315.1458  3.3449e-01    28.41
 315.1483  3.3833e-01    28.73
 315.1508  3.0321e-01    25.75
 315.1533  1.1608e-01     9.86
 315.1558 -1.6163e-01   -13.73
 315.1583 -1.6309e-01   -13.85
 315.1608  5.4749e-02     4.65
 315.1633  2.0054e-01    17.03
 315.1658  2.1374e-01    18.15
 315.1683  1.1822e-01    10.04
 315.1708 -3.5760e-04    -0.03
 315.1733  3.6170e-02     3.07
 315.1758  8.2408e-02     7.00
 315.1783  9.7144e-02     8.25
 315.1808  1.5506e-01    13.17
 315.1833  1.8656e-01    15.84
 315.1858  1.6158e-01    13.72
 315.1883  1.0696e-01     9.08
 315.1908  1.3904e-01    11.81
 315.1933  2.7806e-01    23.62
 315.1958  3.3945e-01    28.83
 315.1983  2.9700e-01    25.23
 315.2008  1.5470e-01    13.14
 315.2033  5.1176e-02     4.35
 315.2058  8.8159e-02     7.49
 315.2083  2.9121e-02     2.47
 315.2108 -7.5497e-02    -6.41
 315.2133 -6.9765e-02    -5.93
 315.2158 -9.0601e-02    -7.70
 315.2183 -1.5840e-01   -13.45
 315.2208 -1.6578e-02    -1.41
 315.2233  2.1763e-01    18.49
 315.2258  2.4874e-01    21.13
 315.2283  3.0642e-01    26.03
 315.2308  3.4909e-01    29.65
 315.2333  3.1169e-01    26.48
 315.2358  1.4943e-01    12.69
 315.2383  4.6808e-02     3.98
 315.2408 -1.5887e-02    -1.35
 315.2433 -5.3879e-02    -4.58
 315.2458  5.2203e-02     4.43
 315.2483  6.5613e-02     5.57
 315.2508  2.3606e-01    20.05
 315.2533  4.5207e-01    38.40
 315.2558  1.8186e-01    15.45
 315.2583 -1.8840e-02    -1.60
 315.2608  1.4939e-02     1.27
 315.2633  1.7908e-01    15.21
 315.2658  3.4770e-01    29.54
 315.2683  1.4939e-01    12.69
 315.2708  2.5013e-02     2.12
 315.2733  1.6944e-01    14.40
 315.2758  1.4418e-01    12.25
 315.2783  8.8800e-02     7.54
 315.2808  9.1757e-02     7.80
 315.2833  1.1131e-01     9.46
 315.2858  7.2290e-02     6.14
 315.2883  1.3573e-01    11.53
 315.2908  9.8220e-02     8.34
 315.2933  4.3918e-02     3.73
 315.2958  1.8956e-01    16.11
 315.2983  2.9225e-01    24.83
 315.3008  2.7721e-01    23.55
 315.3033  1.8597e-01    15.80
 315.3058  8.1362e-02     6.91
 315.3083  5.7109e-02     4.85
 315.3108  4.6858e-01    39.81
 315.3133  8.8343e-01    75.06
 315.3158  6.6324e-01    56.35
 315.3183  3.2567e-01    27.67
 315.3208  1.6653e-01    14.15
 315.3233  3.8150e-01    32.42
 315.3258  7.3676e-01    62.60
 315.3283  6.3298e-01    53.79
 315.3308  2.1511e-01    18.28
 315.3333  2.1205e-02     1.80
 315.3358  6.5530e-02     5.57
 315.3383  2.6418e-01    22.45
 315.3408  3.8453e-01    32.68
 315.3433  3.1327e-01    26.62
 315.3458  2.3851e-01    20.27
 315.3483  2.4842e-01    21.11
 315.3508  2.9339e-01    24.93
 315.3533  3.8431e-01    32.66
 315.3558  4.1983e-01    35.68
 315.3583  5.1654e-01    43.90
 315.3608  7.7287e-01    65.68
 315.3633  8.5848e-01    72.95
 315.3658  7.7704e-01    66.03
 315.3683  8.2499e-01    70.11
 315.3708  7.4270e-01    63.12
 315.3733  5.3564e-01    45.52
 315.3758  3.6365e-01    30.90
 315.3783  3.1210e-01    26.52
 315.3808  5.9563e-01    50.62
 315.3833  8.0709e-01    68.59
 315.3858  6.2856e-01    53.42
 315.3883  3.7981e-01    32.28
 315.3908  2.5087e-01    21.32
 315.3933  2.2171e-01    18.84
 315.3958  1.3837e-01    11.76
 315.3983  1.3218e-01    11.23
 315.4008  2.4619e-01    20.92
 315.4033  5.6462e-01    47.99
